2026-07-14 00:38:10,941 | INFO     | calculator.operations | ADD: 2.5 + 2.5 = 5.0
2026-07-14 00:38:10,941 | INFO     | calculator.operations | SUBTRACT: 5 - 3 = 2
2026-07-14 00:38:10,942 | INFO     | calculator.operations | SUBTRACT: 3 - 5 = -2
2026-07-14 00:38:10,942 | INFO     | calculator.operations | SUBTRACT: 0 - 0 = 0
2026-07-14 00:38:10,943 | INFO     | calculator.operations | SUBTRACT: -5 - -5 = 0
2026-07-14 00:38:10,943 | INFO     | calculator.operations | SUBTRACT: 2.5 - 0.5 = 2.0
2026-07-14 00:38:10,944 | INFO     | calculator.operations | MULTIPLY: 3 * 4 = 12
2026-07-14 00:38:10,945 | INFO     | calculator.operations | MULTIPLY: -3 * 4 = -12
2026-07-14 00:38:10,945 | INFO     | calculator.operations | MULTIPLY: 0 * 100 = 0
2026-07-14 00:38:10,946 | INFO     | calculator.operations | MULTIPLY: -2 * -2 = 4
2026-07-14 00:38:10,946 | INFO     | calculator.operations | MULTIPLY: 2.5 * 2 = 5.0
2026-07-14 00:38:10,947 | INFO     | calculator.operations | DIVIDE: 10 / 2 = 5.0
2026-07-14 00:38:10,948 | INFO     | calculator.operations | DIVIDE: 9 / 3 = 3.0
2026-07-14 00:38:10,948 | INFO     | calculator.operations | DIVIDE: -10 / 2 = -5.0
2026-07-14 00:38:10,949 | INFO     | calculator.operations | DIVIDE: 5 / 2 = 2.5
2026-07-14 00:38:10,949 | ERROR    | calculator.operations | DIVIDE: Attempted division by zero (10 / 0)
2026-07-19 15:59:25,921 | INFO     | calculator.main | Registered new user jaytest
2026-07-19 15:59:26,202 | INFO     | calculator.main | User jaytest logged in
2026-07-19 15:59:26,221 | INFO     | calculator.main | User jaytest created calculation 1
2026-07-19 15:59:26,639 | INFO     | calculator.main | Registered new user jaytest
2026-07-19 15:59:27,018 | INFO     | calculator.main | User jaytest logged in
2026-07-19 15:59:27,039 | INFO     | calculator.main | User jaytest created calculation 1
2026-07-19 15:59:27,406 | INFO     | calculator.main | Registered new user jaytest
2026-07-19 15:59:27,606 | INFO     | calculator.main | User jaytest logged in
